"01/01","Jour de l'An",""
"02/01","St Basile",""
"03/01","Ste Geneviève",""
"04/01","St Odilon",""
"05/01","St Edouard",""
"06/01","St Mélaine",""
"07/01","St Raymond",""
"08/01","St Lucien",""
"09/01","Ste Alix",""
"10/01","St Guillaume",""
"11/01","St Paulin",""
"12/01","Ste Tatiana",""
"13/01","Ste Yvette",""
"14/01","Ste Nina",""
"15/01","St Rémi",""
"16/01","St Marcel"," "
"17/01","Ste Roseline",""
"18/01","Ste Prisca",""
"19/01","St Marius",""
"20/01","St Sébastien",""
"21/01","Ste Agnès",""
"22/01","St Vincent",""
"23/01","St Barnard",""
"24/01","St Fr. de Sales","St François de Sales"
"25/01","Conv. S. Paul","Conversion de St Paul"
"26/01","Ste Paule",""
"27/01","Ste Angèle",""
"28/01","St Th. d'Aquin","St Thomas d'Acquin"
"29/01","St Gildas",""
"30/01","Ste Martine",""
"31/01","Ste Marcelle",""
"01/02","Ste Ella",""
"02/02","Pr. du seigneur","Présentation du seigneur"
"03/02","St Blaise",""
"04/02","Ste Véronique",""
"05/02","Ste Agathe",""
"06/02","St Gaston",""
"07/02","Ste Eugénie",""
"08/02","Ste Jacqueline",""
"09/02","Ste Apolline",""
"10/02","St Arnaud",""
"11/02","N.-D. Lourdes","Notre Dame de Lourdes"
"12/02","St Félix",""
"13/02","Ste Béatrice",""
"14/02","St Valentin",""
"15/02","St Claude",""
"16/02","Ste Julienne",""
"17/02","St Alexis",""
"18/02","Ste Bernadette",""
"19/02","St Gabin",""
"20/02","Aimée",""
"21/02","St P. Damien","St Pierre Damien"
"22/02","Ste Isabelle",""
"23/02","St Lazare",""
"24/02","St Modeste",""
"25/02","St Roméo",""
"26/02","St Nestor",""
"27/02","Ste Honorine",""
"28/02","St Romain",""
"29/02","St Auguste",""
"01/03","St Aubin",""
"02/03","St Charles le B.","St Charles le Bon"
"03/03","St Guénolé",""
"04/03","St Casimir",""
"05/03","Ste Olive",""
"06/03","Ste Colette",""
"07/03","Ste Félicité",""
"08/03","St Jean de Dieu",""
"09/03","Ste Françoise",""
"10/03","St Vivien",""
"11/03","Ste Rosine",""
"12/03","Ste Justine",""
"13/03","St Rodrigue",""
"14/03","Ste Mathilde",""
"15/03","Ste Louise",""
"16/03","Ste Bénédicte",""
"17/03","St Patrice",""
"18/03","St Cyrille",""
"19/03","St Joseph",""
"20/03","St Herbert",""
"21/03","Ste Clémence",""
"22/03","Ste Léa",""
"23/03","St Victorien",""
"24/03","Ste Cath. de Suè.","Ste Catherine de Suède"
"25/03","St Humbert",""
"26/03","Ste Larissa",""
"27/03","St Habib",""
"28/03","St Gontran",""
"29/03","Ste Gwladys",""
"30/03","St Amédée",""
"31/03","St Benjamin",""
"01/04","St Hugues",""
"02/04","Ste Sandrine",""
"03/04","St Richard",""
"04/04","St Isidore",""
"05/04","Ste Irène",""
"06/04","St Marcellin",""
"07/04","St J.-B. de la S.","St Jean-Baptiste de la Salle"
"08/04","Ste Julie",""
"09/04","St Gauthier",""
"10/04","St Fulbert",""
"11/04","St Stanislas",""
"12/04","St Jules",""
"13/04","Ste Ida",""
"14/04","St Maxime",""
"15/04","St Paterne",""
"16/04","St Benoît-J.","St Benoît-Joseph"
"17/04","St Anicet",""
"18/04","St Parfait",""
"19/04","Ste Emma",""
"20/04","Ste Odette",""
"21/04","St Anselme",""
"22/04","St Alexandre",""
"23/04","St Georges",""
"24/04","St Fidèle",""
"25/04","St Marc",""
"26/04","Ste Alida",""
"27/04","Ste Zita",""
"28/04","Ste Valérie",""
"29/04","Ste Cath. de Sienne","Ste Catherine de Sienne"
"30/04","St Robert",""
"01/05","St Brieuc",""
"02/05","St Boris",""
"06/05","St Philip., Jacq.","St Philippe et St Jacques"
"04/05","St Sylvain",""
"05/05","Ste Judith",""
"06/05","Ste Prudence",""
"07/05","Ste Gisèle",""
"08/05","St Désiré",""
"09/05","St Pacôme",""
"10/05","Ste Solange",""
"11/05","Ste Estelle",""
